username,mention_count,roles,username_lower,is_known_bot,only_comments,high_volume,is_behavioral_bot,suspected_bot
songtaoshi,1,['comment_authors'],songtaoshi,False,True,False,True,True
MarkOUzx,1,['comment_authors'],markouzx,False,True,False,True,True
lfz,1,['comment_authors'],lfz,False,True,False,True,True
willyd,2,"['comment_authors', 'author']",willyd,False,False,False,False,False
lazypanda1,9,"['comment_authors', 'review_comment_authors', 'author']",lazypanda1,False,False,False,False,False
zym1010,2,"['comment_authors', 'author']",zym1010,False,False,False,False,False
klshrinidhi,2,"['comment_authors', 'author']",klshrinidhi,False,False,False,False,False
kevinzakka,7,"['comment_authors', 'author']",kevinzakka,False,False,False,False,False
Amir-Arsalan,4,"['comment_authors', 'author']",amir-arsalan,False,False,False,False,False
datnamer,1,['comment_authors'],datnamer,False,True,False,True,True
Iwontbecreative,1,['author'],iwontbecreative,False,False,False,False,False
Evpok,9,"['comment_authors', 'review_comment_authors', 'author']",evpok,False,False,False,False,False
dogancan,1,['review_comment_authors'],dogancan,False,True,False,True,True
SeanNaren,2,"['comment_authors', 'author']",seannaren,False,False,False,False,False
mdraw,4,"['comment_authors', 'review_comment_authors', 'author']",mdraw,False,False,False,False,False
katotetsuro,1,['author'],katotetsuro,False,False,False,False,False
ghost,91,"['comment_authors', 'author']",ghost,False,False,False,False,False
tunz,6,"['comment_authors', 'review_comment_authors', 'author']",tunz,False,False,False,False,False
0x00b1,83,"['comment_authors', 'review_comment_authors', 'author']",0x00b1,False,False,False,False,False
ranzato,1,['review_comment_authors'],ranzato,False,True,False,True,True
malmaud,16,"['comment_authors', 'review_comment_authors', 'author']",malmaud,False,False,False,False,False
rkaplan,4,"['comment_authors', 'review_comment_authors', 'author']",rkaplan,False,False,False,False,False
karandwivedi42,13,"['comment_authors', 'review_comment_authors', 'author']",karandwivedi42,False,False,False,False,False
samhaaf,1,['comment_authors'],samhaaf,False,True,False,True,True
brettkoonce,2,['author'],brettkoonce,False,False,False,False,False
ReyhaneAskari,3,"['comment_authors', 'author']",reyhaneaskari,False,False,False,False,False
lsb,1,['comment_authors'],lsb,False,True,False,True,True
lamblin,1,['comment_authors'],lamblin,False,True,False,True,True
nouiz,1,['comment_authors'],nouiz,False,True,False,True,True
btgraham,2,['author'],btgraham,False,False,False,False,False
juniorrojas,1,['author'],juniorrojas,False,False,False,False,False
davidbau,2,"['comment_authors', 'author']",davidbau,False,False,False,False,False
